company,country
10x Genomics,US
"2seventy bio, Inc.",US
3V Sigma S.p.A.,IT
A. Menarini Diagnostics,IT
A.C.E.F. S.r.l.,IT
A.G.A. S.r.l.,IT
AB S.A.,PL
ABB BV,NL
ACPS Automotive GmbH,DE
ADOBE INC.,US
AGFA NV,NO
AIM Sport Development AG,CH
ALBACH MASCHB GMBH,DE
ALD Vacuum Technologies GmbH,DE
AQUAPHOR GmbH,DE
AQUASHIELD,US
ARCORA International GmbH,DE
ARTURO SALICE S.p.A.,IT
ASD SAS,AR
ASIAN MOTORS SALES BV,NL
ASTES4 SA,
ASUS,TW
ATAG Nederland,NL
AWM s.r.l.,IT
"AX Wireless, LLC",US
AYLO,LU
Aarke AB,SE
Abbexa BV,NL
Abbott,US
Acceleronix B.V.,NL
Accord Healthcare,GB
Acer Inc.,TW
Adeia Guides Inc,US
Adin Dental Implant Systems,IL
AdvanSix,US
Advanced Bionics,DE
Advanced Brain Monitoring,US
Advanced Cell Diagnostics,US
Advanced Standard Communication LLC,US
Advancis Medical,DE
Adyen N.V.,NL
Aesculap AG,DE
Agathon,DE
Aiko Solar,CN
Aiper Intelligent SARL,FR
Air Liquide Healthcare,FR
Aleamed ,BE
"Align Technology, Inc.",US
Allinea Software GmbH,DE
Alpina Coffee Systems GmbH,IT
Alpinestars S.p.A.,IT
Altech Makina,TR
Amazon,US
American Wave Machines,US
Amgen,US
Amycel LLC,US
Angelalign Technology,KY
Anker Innovations,US
AorticLab srl,IT
"Apex Tool Group, LLC",US
Apple,US
Arbutus Biopharma,CA
Arcelik,TR
ArcelorMittal,LU
Arkyne Technologies S.L.,ES
Arm,GB
Arthrex,US
Arvato,PL
Ascendis Pharma,DK
"Ascension International Trading Co., Ltd.",CN
Astotec Automotive GmbH,AT
Astronergy,DE
Atlas Copco Industrial Technique AB,US
Atlas Global Technologies GmbH (Acacia),DE
Autoliv Development Aktiebolag,SE
Autostore,NO
Avago Technologies,SG
Azelis,BE
BAG Diagnostics GmbH,DE
BEGO Medical GmbH ,DE
BF exaQC AG,DE
BILIA AB,SE
BIOLITEC AG,AT
BITZER KUEHLMASCHINENBAU GMBH,
"BMS Innovations, LLC",US
BODE GMBH & CO KG,DE
BOEHRINGER INGELHEIM INTERNATIONAL GMBH,DE
BONETTO SRL,IT
BSH HAUSGERAETE GMBH,DE
BSN Medical GmbH,DE
BTL HEALTHCARE TECHNOLOGIES,CZ
BYD,CN
BYSTRONIC,CH
Becton Dickinson Rowa Germany GmbH,DE
Bedrock S.A.S.,CO
Beiersdorf AG,DE
Bekaert,BE
Beko,RO
Belkin,US
Belparts Group,BE
Bette GmbH & Co,DE
Beurer GmbH,DE
Bhagat Textile Engineers,IN
Biocablan SL,ES
Biomarin,US
Biontech,DE
Biopsafe ApS,DK
Black Sheep Retail Products,NL
"Boa Technology, Inc.",US
Bobst Manchester Limited,GB
Boerboom Matrijzenbouw NV,NL
Bondimed Aesthetics GmbH,AT
"Bostik, Inc.",US
BrandLine Group,PL
Brightwake Ltd,GB
Brita,DE
Brodrene Hartmann,DK
C-KORE SYSTEMS,GB
"CA, Inc.",US
CAN Srl Airxcel,IT
CANE S.p.A,IT
CCV Group B.V. ,NL
CEAD B.V.,NL
CITY GLASS AND GLAZING PRIVATE LIMITED,IN
CMC Medical Devices,ES
CORVAER SAS,FR
CPYou B.V.,FI
CUPCINO Kaffeesystem-Vertrieb GmbH,DE
CUPOWER,DE
Canfield Scientific,US
Canon,JP
Caterpillar,US
Celonis SE,DE
Centripetal Limited,IE
CeraCon GmbH,DE
Chint New Energy Technology Co.,CN
Chronos Vision GmbH,DE
Cisco Systems,US
Coenergia,IT
Collomix GmbH,DE
Columbus Trading-Partners GmbH,DE
"CooperSurgical, Inc.",US
Corning Incorporated,US
Cretes NV,BE
Crystal Clear Codec,PL
"Curio Bioscience, Inc",US
Cybex GmbH,DE
DAF Trucks,NL
DISH Technologies L.L.C.,US
DJI Europe B.V.,NL
Dacia,
Daedalus Prime LLC ,US
"Dai Nippon Printing Co., Ltd.",JP
Dainese S.p.A.,IT
Danieli S.P.A.,IT
De Kleine Beuk B.V.,
DeTect Global Inc.,US
Decathlon,FR
Delta-Sport Handelskontor,DE
Dexcom,US
Digital River,US
Dinno Santé,FR
Discord Inc,US
"DivX, LLC",US
Dolby International,US
Dolle AS,DK
"Doosan Bobcat North America, Inc.",US
Dr Reddy's Srl ,IN
Dreame Technology,CN
Dyson,GB
E-LAIN SAS,FR
E-MAK MAKINE INSAAT ,TR
EC Cash Direkt,DE
EC Cash Direkt GmbH,
ECOVACS,CN
EJNER HESSEL A/S,DK
EJP Maschinen GmbH ,DE
EMS - Electro Medical Systems,DE
ESTABLISHMENT LABS S.A.,BR
EUROIMMUN,DE
Eagle Electronics Inc.,US
Eagle Wireless Inc.,US
Easee B.V.,NL
Edwards Lifesciences,US
Egenta s.r.o.,CZ
Electronics and Telecommunications Research Institute (ETRI),KR
"Element Biosciences, Inc.",US
Elite Médicale,FR
Elitech Technology,US
"Emboline, Inc.",US
"Enanta Pharmaceuticals, Inc.",US
Endless Surf Ltd.,AU
Endrich Bauelemente Vertriebs GmbH,DE
Energy3000 solar GmbH,US
Ericsson,SE
Erwin Härtwich,BR
Eschlboeck,
Esko,
Esko-Graphics Imaging,DE
Eurep GmbH,DE
Euro Heat doo,RS
Europe Forestry B.V,NL
European Distribution Center Motiva,BE
Eyesmatch Ltd.,US
FAKRO,PL
"FAST IP, LLC",US
FLA Europe NV,BE
FRANCE DÉVELOPPEMENT ÉLECTRONIQUE,FR
FUJIFILM,JP
Facebook,US
Fantasia Trading LLC,US
Fingon LLC,US
First Plast,IT
Flanco Retail SA,RO
Flap Competence Center Korlátolt Felelősségű Társaság,HR
Flextronics International Europe B.V.,
Foreo AB ,SE
"Foshan Kevdar Textile Co.,Ltd.",
Franz Kaldewei GmbH & Co. KG,DE
Fraunhofer-Gesellschaft,DE
FreeFlow Technology Ltd.,GB
Friese-Okoro,
GISELA MAYER,DE
GRUNDFOS OPERATIONS,DK
GXD-Bio (Intellectual Discovery),KR
Galaxus Deutschland GmbH,DE
Games Global Limited,GB
Gasmarine BV Srl,IT
Gastroteam Abbe AB,SE
Geha Laverman B.V,NL
Genevant Sciences Gmbh,CH
GlaxoSmithKline,GB
Golf Tech GmbH,DE
Goodyear,LU
Google,US
"Gorenje gospodinjski aparati, d.o.o",SI
